car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.65, -0.19, 0.06]","[32.24, -1.89, 0.14]",2.949,"[0.0, -1.0]","[0.734, 1.638, 0.841, 0.55, 0.55, 0.809, 1.39, 0.734]","[-2.4099999999999966, -36.54]",1
"[34.66, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.957,"[-0.063, -0.998]","[0.756, 1.633, 0.718, 0.535, 0.539, 0.922, 1.003, 0.749]","[-2.4199999999999946, -36.55]",1
"[34.67, -0.18, 0.02]","[32.24, -1.89, 0.14]",2.971,"[-0.219, -0.976]","[2.389, 0.924, 0.562, 0.518, 0.581, 1.252, 1.026, 0.766]","[-2.4299999999999997, -36.56]",1
"[34.68, -0.16, 0.02]","[32.24, -1.89, 0.14]",2.991,"[-0.363, -0.932]","[2.227, 0.808, 0.501, 0.5, 0.708, 1.032, 0.786, 0.784]","[-2.4399999999999977, -36.57]",2
"[34.69, -0.16, 0.02]","[32.24, -1.89, 0.14]",2.999,"[-0.278, -0.961]","[2.241, 0.927, 0.522, 0.503, 0.61, 1.025, 1.043, 0.78]","[-2.4499999999999957, -36.58]",0
"[34.63, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.933,"[-0.234, -0.972]","[2.633, 0.911, 0.599, 0.559, 0.637, 1.065, 1.024, 0.724]","[-2.3900000000000006, -36.52]",1
"[34.59, -0.21, 0.02]","[32.24, -1.89, 0.14]",2.889,"[-0.3, -0.954]","[2.167, 0.9, 0.609, 0.595, 0.742, 1.028, 0.706, 0.689]","[-2.3500000000000014, -36.480000000000004]",0
"[34.55, -0.24, 0.02]","[32.24, -1.89, 0.14]",2.839,"[-0.346, -0.938]","[2.113, 0.871, 0.64, 0.636, 0.86, 1.043, 0.652, 0.648]","[-2.309999999999995, -36.44]",0
"[34.46, -0.32, 0.02]","[32.24, -1.89, 0.14]",2.719,"[-0.346, -0.938]","[2.024, 0.83, 0.726, 0.722, 0.972, 1.085, 0.566, 0.562]","[-2.219999999999999, -36.35]",2
"[34.43, -0.35, 0.02]","[32.24, -1.89, 0.14]",2.677,"[-0.286, -0.958]","[1.989, 0.82, 0.776, 0.753, 0.914, 1.105, 0.548, 0.53]","[-2.1899999999999977, -36.32]",0
"[34.37, -0.38, 0.02]","[32.24, -1.89, 0.14]",2.611,"[-0.245, -0.969]","[2.065, 0.911, 0.822, 0.817, 0.937, 1.117, 0.498, 0.467]","[-2.1299999999999955, -36.26]",1
"[34.34, -0.4, 0.02]","[32.24, -1.89, 0.14]",2.575,"[-0.307, -0.952]","[1.91, 0.819, 0.85, 0.849, 1.062, 1.134, 0.445, 0.435]","[-2.1000000000000014, -36.230000000000004]",1
"[34.34, -0.39, 0.02]","[32.24, -1.89, 0.14]",2.581,"[-0.454, -0.891]","[1.568, 0.812, 0.833, 0.844, 1.47, 1.139, 0.451, 0.456]","[-2.1000000000000014, -36.230000000000004]",1
"[34.34, -0.37, 0.02]","[32.24, -1.89, 0.14]",2.592,"[-0.565, -0.825]","[1.411, 0.807, 0.818, 0.9, 1.137, 0.514, 0.465, 2.054]","[-2.1000000000000014, -36.230000000000004]",0
"[34.32, -0.42, 0.02]","[32.24, -1.89, 0.14]",2.547,"[-0.588, -0.809]","[1.365, 0.777, 0.832, 0.943, 1.181, 0.486, 0.452, 1.996]","[-2.0799999999999983, -36.21]",0
"[34.29, -0.52, 0.02]","[32.24, -1.89, 0.14]",2.466,"[-0.587, -0.809]","[1.272, 0.713, 0.865, 0.979, 1.275, 0.451, 0.419, 1.892]","[-2.049999999999997, -36.18]",0
"[34.26, -0.62, 0.02]","[32.24, -1.89, 0.14]",2.386,"[-0.588, -0.809]","[1.186, 0.665, 0.895, 1.013, 1.365, 0.419, 0.403, 1.799]","[-2.019999999999996, -36.15]",0
"[34.23, -0.71, 0.02]","[32.24, -1.89, 0.14]",2.314,"[-0.588, -0.809]","[1.1, 0.625, 0.926, 1.047, 1.455, 0.404, 0.543, 1.694]","[-1.9899999999999949, -36.12]",0
"[34.2, -0.8, 0.02]","[32.24, -1.89, 0.14]",2.243,"[-0.587, -0.81]","[1.027, 0.599, 0.954, 1.078, 1.541, 0.423, 0.811, 1.602]","[-1.9600000000000009, -36.09]",0
"[34.16, -0.9, 0.02]","[32.24, -1.89, 0.14]",2.16,"[-0.587, -0.81]","[0.94, 0.583, 0.698, 1.115, 0.829, 0.461, 1.894, 1.501]","[-1.9199999999999946, -36.05]",0
"[34.14, -0.99, 0.02]","[32.24, -1.89, 0.14]",2.102,"[-0.586, -0.81]","[0.873, 0.601, 0.583, 1.147, 0.764, 0.508, 1.83, 1.404]","[-1.8999999999999986, -36.03]",2
"[34.12, -1.03, 0.02]","[32.24, -1.89, 0.14]",2.067,"[-0.542, -0.84]","[1.197, 0.655, 0.592, 1.111, 0.965, 0.533, 2.443, 1.799]","[-1.8799999999999955, -36.01]",2
"[34.13, -1.04, 0.02]","[32.24, -1.89, 0.14]",2.072,"[-0.422, -0.907]","[1.234, 0.852, 0.605, 1.053, 1.668, 0.526, 0.705, 1.782]","[-1.8900000000000006, -36.02]",2
"[34.13, -1.05, 0.02]","[32.24, -1.89, 0.14]",2.068,"[-0.296, -0.955]","[1.351, 0.86, 0.621, 0.616, 1.299, 0.515, 0.529, 1.776]","[-1.8900000000000006, -36.02]",2
"[34.13, -1.06, 0.02]","[32.24, -1.89, 0.14]",2.064,"[-0.15, -0.989]","[1.78, 1.245, 0.868, 0.626, 1.12, 1.756, 0.505, 2.418]","[-1.8900000000000006, -36.02]",1
"[34.13, -1.06, 0.02]","[32.24, -1.89, 0.14]",2.064,"[-0.222, -0.975]","[1.359, 1.009, 0.654, 0.618, 1.182, 0.698, 0.512, 1.779]","[-1.8900000000000006, -36.02]",0
"[34.08, -1.08, 0.02]","[32.24, -1.89, 0.14]",2.01,"[-0.252, -0.968]","[1.307, 0.982, 0.69, 0.663, 1.281, 0.512, 0.524, 1.719]","[-1.8399999999999963, -35.97]",2
"[34.05, -1.11, 0.02]","[32.24, -1.89, 0.14]",1.971,"[-0.173, -0.985]","[1.683, 1.182, 0.867, 0.698, 1.223, 0.656, 0.515, 2.357]","[-1.8099999999999952, -35.94]",0
"[33.97, -1.13, 0.02]","[32.24, -1.89, 0.14]",1.89,"[-0.141, -0.99]","[1.609, 1.16, 0.898, 0.769, 1.274, 0.545, 0.506, 2.3]","[-1.7299999999999969, -35.86]",1
"[33.94, -1.14, 0.02]","[32.24, -1.89, 0.14]",1.858,"[-0.206, -0.979]","[1.583, 1.146, 0.904, 0.802, 1.376, 0.514, 0.552, 1.594]","[-1.6999999999999957, -35.83]",0
